ovelse;beskrivelse;treningstyper
'biceps';'Hold en vekt i hver hånd, senk armene og bøy albuene for å løfte vektene mot skuldrene.';'armer'
'triceps';'Bruk en vekt i begge hender, senk vekten bak hodet ved å bøye albuene og strekk deretter armene.';'armer'
'overarm';'Hold en vekt i hver hånd, løft vektene ut til sidene med utstrakte armer.';'armer'
'underarm';'Bruk en vekt i hver hånd, bøy albuene og løft vektene mot skuldrene.';'armer'
'lår';'Plasser en vekt på skuldrene, bøy knærne og senk kroppen nedover som om du setter deg på en stol.';'ben'
'legger';'Stå oppreist, løft hælene slik at du står på tærne, senk hælene ned igjen.';'ben'
'setemuskelen';'Ligg på ryggen, bøy knærne og løft hoftene opp mot taket.';'ben'
'hofter';'Lig på ryggen, bøy knærne, og sving hoftene opp og ned.';'ben'
'skuldre';'Hold en vekt i hver hånd, løft vektene rett opp fra skuldrene med utstrakte armer.';'rygg'
'rygghev';'Ligg på magen, løft overkroppen og bena opp fra bakken.';'rygg'
'bryst';'Ligg på ryggen, senk vektene ned til brystet, og press dem opp igjen.';'overkropp'
'mage';'Ligg på ryggen, løft overkroppen opp mot knærne.';'overkropp'
'Markløft';'Stå med rett rygg, bøy deg fremover og løft vektene fra gulvet ved å rette ut hoftene.';'spesialisert'
'roing';'Bøy deg fremover, hold vektene i hendene, og dra dem opp mot magen.';'spesialisert'
'chin-ups';'Heng på en stang med overhåndsgrep, løft kroppen opp slik at haken passerer stangen.';'spesialisert'
